transaction_id,amount,age,is_international,merchant_cat,hour,device_change,fraud,age_group,fraud_percent_by_hour
46,3312.948899485556,55,1,9,4,0,0,55-64,0.4744897959183674
47,1559.2436693709653,61,1,4,19,1,0,55-64,0.49038461538461536
48,2600.820037867876,72,0,17,20,1,1,65+,0.5628415300546448
49,2734.004686437055,63,0,2,21,0,1,55-64,0.45
50,925.0874231721097,51,1,16,21,0,0,45-54,0.45
51,4847.953554195028,58,1,14,4,0,0,55-64,0.4744897959183674
52,3875.888983982212,27,0,8,10,0,0,25-34,0.5252525252525253
53,4697.555208879381,34,0,14,11,1,1,25-34,0.5124378109452736
54,4474.241924787816,34,0,2,21,0,1,25-34,0.45
55,2989.9019940766148,20,1,16,8,0,1,18-24,0.48223350253807107
56,4609.449300880561,48,0,4,20,0,0,45-54,0.5628415300546448
57,443.3740177575456,68,1,1,12,1,0,65+,0.4729064039408867
58,980.7183292333068,18,0,14,21,1,0,18-24,0.45
59,227.09121726377978,29,1,8,19,1,0,25-34,0.49038461538461536
60,1627.3263234855585,56,1,3,2,0,0,55-64,0.5194174757281553
61,1943.9977711577205,21,1,5,12,1,0,18-24,0.4729064039408867
62,1357.4738098377056,59,1,6,21,0,1,55-64,0.45
63,4143.858808250495,30,0,8,10,0,0,25-34,0.5252525252525253
64,1784.4098801412529,51,1,6,10,0,0,45-54,0.5252525252525253
65,1405.3916139272164,59,1,6,20,0,1,55-64,0.5628415300546448
66,2713.937719708084,38,1,4,19,1,1,35-44,0.49038461538461536
67,705.4802006488385,39,0,7,20,1,1,35-44,0.5628415300546448
68,4011.182706789444,74,0,19,6,1,1,65+,0.5069124423963134
69,373.67866775517433,21,0,7,16,1,1,18-24,0.4928909952606635
70,4934.447796065986,35,0,3,15,0,1,35-44,0.484
71,3861.4516017139904,22,0,8,13,0,0,18-24,0.5024390243902439
72,994.3796919893279,36,0,1,0,0,0,35-44,0.45161290322580644
73,28.60506350088839,19,1,1,10,0,0,18-24,0.5252525252525253
74,4077.491680845716,29,1,14,12,0,0,25-34,0.4729064039408867
75,3534.579861894238,34,1,6,0,1,1,25-34,0.45161290322580644
76,3645.3068330368956,27,0,10,1,1,1,25-34,0.48148148148148145
77,3856.5804630830426,51,1,14,8,0,0,45-54,0.48223350253807107
78,371.1492140187177,23,1,4,12,0,1,18-24,0.4729064039408867
79,1792.9701769928188,25,0,6,4,1,1,25-34,0.4744897959183674
80,580.2294285661235,68,1,16,8,1,0,65+,0.48223350253807107
81,4315.654025952092,28,0,1,12,0,0,25-34,0.4729064039408867
82,3116.867336010962,74,1,6,4,1,0,65+,0.4744897959183674
83,1655.1592262383933,29,0,9,14,1,0,25-34,0.5024875621890548
84,318.7281930798321,26,0,15,6,0,0,25-34,0.5069124423963134
85,1555.6006262565954,19,0,12,13,0,0,18-24,0.5024390243902439
86,1626.5914268117085,25,1,3,15,1,0,25-34,0.484
87,3648.3012855119823,28,1,11,5,1,0,25-34,0.47297297297297297
88,3188.1497993047105,70,0,15,1,0,1,65+,0.48148148148148145
89,4436.176500139057,53,0,3,15,1,0,45-54,0.484
90,2361.6024108845845,27,1,14,18,1,1,25-34,0.5051546391752577
91,598.8516354455702,38,1,2,4,1,0,35-44,0.4744897959183674
92,3566.510691327752,37,0,4,3,0,1,35-44,0.49056603773584906
93,3804.16445803587,65,1,19,13,1,0,65+,0.5024390243902439
94,2806.8247106499116,25,1,12,5,1,0,25-34,0.47297297297297297
95,3855.0649325928503,53,1,2,7,0,0,45-54,0.5128205128205128
96,2469.4841862255894,46,0,17,23,0,0,45-54,0.46733668341708545
97,2614.141414080588,59,0,3,2,1,0,55-64,0.5194174757281553
98,2138.2775507743895,29,1,10,3,0,1,25-34,0.49056603773584906
99,128.07021459373186,31,0,16,0,0,0,25-34,0.45161290322580644
100,540.349243539529,65,1,9,1,1,0,65+,0.48148148148148145
101,158.11449924798453,71,1,11,12,0,0,65+,0.4729064039408867
102,3182.415645907638,67,0,15,8,1,1,65+,0.48223350253807107
103,1572.465549400557,38,0,3,11,1,1,35-44,0.5124378109452736
104,2543.344885132349,39,0,16,9,0,1,35-44,0.5084745762711864
105,4537.924803156539,38,1,12,9,1,1,35-44,0.5084745762711864
106,1247.2118535152258,61,1,5,17,1,1,55-64,0.5186915887850467
107,2052.504232255113,67,0,7,11,1,1,65+,0.5124378109452736
108,3778.0001415767,47,0,9,21,1,0,45-54,0.45
109,1144.7620292926206,56,0,18,15,1,0,55-64,0.484
110,385.82256923413615,37,1,8,22,0,0,35-44,0.46733668341708545
111,1449.4675131159263,41,1,12,5,0,1,35-44,0.47297297297297297
112,806.9452149827681,40,1,2,23,1,0,35-44,0.46733668341708545
113,4648.558564060523,24,0,10,23,1,0,18-24,0.46733668341708545
114,4040.7937774425204,26,0,19,20,0,1,25-34,0.5628415300546448
115,3167.385378795607,18,1,9,23,1,0,18-24,0.46733668341708545
116,4357.431490348401,43,0,8,9,1,0,35-44,0.5084745762711864
117,4018.556712418673,55,0,1,14,1,0,55-64,0.5024875621890548
118,933.6637243712931,55,0,6,8,0,1,55-64,0.48223350253807107
119,4462.902433451399,71,0,12,23,1,1,65+,0.46733668341708545
120,2697.171867336338,61,1,19,1,0,0,55-64,0.48148148148148145
121,4037.3933356651487,39,0,17,17,1,0,35-44,0.5186915887850467
122,4480.560408317543,61,1,2,11,1,1,55-64,0.5124378109452736
123,1590.6993713843476,27,1,11,2,0,1,25-34,0.5194174757281553
124,551.1495707138561,72,0,18,6,0,1,65+,0.5069124423963134
125,1140.4478775471664,23,1,11,8,1,1,18-24,0.48223350253807107
126,2136.1118353426555,34,1,18,7,1,0,25-34,0.5128205128205128
127,4090.255814846543,68,0,8,5,1,1,65+,0.47297297297297297
128,4303.792185698461,67,1,15,0,0,0,65+,0.45161290322580644
129,35.753700525422325,55,1,9,13,1,1,55-64,0.5024390243902439
130,2554.225765585251,41,1,15,15,0,0,35-44,0.484
131,2087.637604740746,68,1,7,15,1,1,65+,0.484
132,1111.3169445431806,27,1,13,3,1,1,25-34,0.49056603773584906
133,600.2069713010803,73,1,13,5,1,1,65+,0.47297297297297297
134,1688.7382418467362,25,1,1,14,1,0,25-34,0.5024875621890548
135,4714.605609858683,38,1,4,21,1,0,35-44,0.45
136,1616.6914571717555,73,0,4,7,1,0,65+,0.5128205128205128
137,2594.4343180950873,23,0,4,0,1,0,18-24,0.45161290322580644
138,3515.391775516994,38,0,13,12,0,1,35-44,0.4729064039408867
139,1818.7843822940906,74,1,2,17,1,1,65+,0.5186915887850467
140,4858.938631522083,56,1,15,17,1,1,55-64,0.5186915887850467
141,4812.274027415614,41,1,4,12,1,0,35-44,0.4729064039408867
142,1259.6596968309955,50,0,6,21,1,1,45-54,0.45
143,2486.745280956035,35,0,3,13,0,1,35-44,0.5024390243902439
144,1505.0906707740317,73,0,7,10,0,1,65+,0.5252525252525253
145,1424.9176313929606,45,1,6,6,1,0,45-54,0.5069124423963134
146,185.39784982530944,74,0,3,17,1,0,65+,0.5186915887850467
147,3048.2121055655043,69,0,4,20,0,1,65+,0.5628415300546448
148,2513.8924371210787,49,1,10,21,0,0,45-54,0.45
149,258.3422774986968,29,0,9,3,0,0,25-34,0.49056603773584906
150,1393.9536747188206,65,1,6,16,1,1,65+,0.4928909952606635
151,4541.4211639473015,59,0,11,18,0,1,55-64,0.5051546391752577
152,1198.569891444195,44,1,7,13,0,0,35-44,0.5024390243902439
153,725.3294655840242,27,1,18,9,1,0,25-34,0.5084745762711864
154,2447.7743486275376,63,1,4,5,1,1,55-64,0.47297297297297297
155,4928.266620098893,74,1,5,17,1,1,65+,0.5186915887850467
156,1211.0343022859906,69,1,4,3,0,1,65+,0.49056603773584906
157,3361.005601481987,59,0,4,10,0,1,55-64,0.5252525252525253
158,3808.3364570282592,49,1,13,12,0,1,45-54,0.4729064039408867
159,1188.9500824180059,59,1,16,7,0,1,55-64,0.5128205128205128
160,3641.353526710686,43,1,14,9,1,1,35-44,0.5084745762711864
161,1839.5478804635468,42,1,11,22,0,0,35-44,0.46733668341708545
162,3161.8968471373037,28,0,2,10,1,0,25-34,0.5252525252525253
163,3168.015024093713,40,1,14,2,0,1,35-44,0.5194174757281553
164,2679.3376456897176,51,0,7,14,0,0,45-54,0.5024875621890548
165,452.3585605019871,74,1,11,7,0,0,65+,0.5128205128205128
166,4176.677175450601,69,1,4,19,1,1,65+,0.49038461538461536
167,1604.5795447937073,57,0,7,17,0,1,55-64,0.5186915887850467
168,933.4060334888713,40,0,16,20,1,1,35-44,0.5628415300546448
169,204.8349326322648,46,0,6,0,1,0,45-54,0.45161290322580644
170,2954.873822998021,48,1,6,23,1,1,45-54,0.46733668341708545
171,3388.14424484957,24,0,2,7,1,1,18-24,0.5128205128205128
172,83.9225568103529,57,1,8,2,0,0,55-64,0.5194174757281553
173,2560.9531984381056,50,0,7,0,0,1,45-54,0.45161290322580644
174,1133.2523802144917,38,0,14,19,1,0,35-44,0.49038461538461536
175,3226.2187792568398,19,1,9,15,1,0,18-24,0.484
176,872.6577785959522,35,0,15,8,0,1,35-44,0.48223350253807107
177,3454.997752774227,64,0,18,16,0,1,55-64,0.4928909952606635
178,1934.2899961563865,50,1,12,15,1,1,45-54,0.484
179,4683.713213694936,54,1,19,22,0,0,45-54,0.46733668341708545
180,688.4671997858203,51,1,13,5,0,1,45-54,0.47297297297297297
181,1705.9906889002423,37,0,7,22,0,0,35-44,0.46733668341708545
182,568.2541326817047,52,0,10,6,1,1,45-54,0.5069124423963134
183,4623.543397774535,68,0,10,23,1,1,65+,0.46733668341708545
184,4386.819427551524,67,0,2,15,1,1,65+,0.484
185,1290.450196948063,71,0,14,7,1,1,65+,0.5128205128205128
186,3300.260246124861,35,1,13,9,1,0,35-44,0.5084745762711864
187,4086.293778805878,63,0,6,13,0,1,55-64,0.5024390243902439
188,2776.4488571857123,41,1,9,10,0,1,35-44,0.5252525252525253
189,2648.7232412016765,25,0,13,1,0,1,25-34,0.48148148148148145
190,1210.019602211358,47,1,9,11,1,1,45-54,0.5124378109452736
191,466.42073626169014,61,0,13,19,0,0,55-64,0.49038461538461536
192,4486.18157400868,70,0,5,19,1,0,65+,0.49038461538461536
193,4502.189867759489,27,1,14,12,1,1,25-34,0.4729064039408867
194,3165.8741849090666,40,0,5,14,1,0,35-44,0.5024875621890548
195,1695.8099254524548,69,1,9,11,1,1,65+,0.5124378109452736
196,1746.6986634886919,66,0,8,12,1,0,65+,0.4729064039408867
197,3630.052438672327,28,0,7,7,1,1,25-34,0.5128205128205128
198,4485.654189502933,19,1,8,15,0,0,18-24,0.484
199,4435.545034901322,43,0,3,2,1,0,35-44,0.5194174757281553
200,3899.5978537422616,53,1,15,12,0,0,45-54,0.4729064039408867
201,3210.5161991252844,50,0,8,11,1,0,45-54,0.5124378109452736
202,421.61568501024914,64,0,1,18,0,0,55-64,0.5051546391752577
203,808.9819417589742,30,0,7,1,1,1,25-34,0.48148148148148145
204,4492.872388446869,57,0,19,0,1,0,55-64,0.45161290322580644
205,3032.53886923829,42,0,2,7,0,1,35-44,0.5128205128205128
206,46.97606103153161,21,0,14,8,1,1,18-24,0.48223350253807107
207,508.25624278729447,59,0,18,7,1,1,55-64,0.5128205128205128
208,3317.845343771171,36,1,15,20,0,1,35-44,0.5628415300546448
209,26.302857647247215,35,0,14,16,0,1,35-44,0.4928909952606635
210,804.8794490360758,54,0,19,8,1,1,45-54,0.48223350253807107
211,2744.120213043564,47,0,19,5,0,1,45-54,0.47297297297297297
212,3459.7840932657737,36,1,17,14,0,1,35-44,0.5024875621890548
213,3260.1543362535,40,1,19,22,1,1,35-44,0.46733668341708545
214,1122.1222779933385,71,0,16,23,0,1,65+,0.46733668341708545
215,3561.1839275163316,33,0,19,12,1,1,25-34,0.4729064039408867
216,1187.0081883965036,18,0,1,20,0,0,18-24,0.5628415300546448
217,1627.6730910981794,29,1,19,21,1,1,25-34,0.45
218,3732.710534185003,41,0,7,11,1,1,35-44,0.5124378109452736
219,3248.514862337026,51,1,11,12,1,1,45-54,0.4729064039408867
220,4246.267829060395,70,0,5,6,0,0,65+,0.5069124423963134
221,3288.4068486094166,74,1,17,22,1,0,65+,0.46733668341708545
222,2841.9747080740226,25,1,11,17,0,1,25-34,0.5186915887850467
223,469.28016437263426,35,0,8,13,1,0,35-44,0.5024390243902439
224,1839.211299494108,74,0,10,10,1,0,65+,0.5252525252525253
225,1326.7466360409455,65,0,12,13,1,1,65+,0.5024390243902439
226,1220.704227252039,22,0,10,16,0,1,18-24,0.4928909952606635
227,4865.0797632074755,43,0,13,23,1,0,35-44,0.46733668341708545
228,1966.0955256091352,47,0,18,20,1,0,45-54,0.5628415300546448
229,4460.340729330389,71,0,10,1,0,1,65+,0.48148148148148145
230,3156.0619913603173,30,1,19,18,1,1,25-34,0.5051546391752577
231,3974.2617064047004,36,0,17,15,1,1,35-44,0.484
232,2513.6828284328553,46,0,16,21,0,1,45-54,0.45
233,2884.942519247169,20,1,5,9,0,1,18-24,0.5084745762711864
234,2463.095951400501,43,0,3,21,0,1,35-44,0.45
235,977.0196960024244,57,0,15,7,1,0,55-64,0.5128205128205128
236,3612.538124192265,29,0,2,20,0,1,25-34,0.5628415300546448
237,1404.5810398418382,19,0,13,4,1,1,18-24,0.4744897959183674
238,122.55551619083774,28,1,8,6,1,0,25-34,0.5069124423963134
239,3227.716007239932,61,1,17,12,0,1,55-64,0.4729064039408867
240,886.3762863558377,45,0,4,15,0,1,45-54,0.484
241,4702.352463180218,35,0,19,4,1,0,35-44,0.4744897959183674
242,4769.688956435934,30,1,9,15,0,0,25-34,0.484
243,4574.407086712022,54,0,15,14,0,1,45-54,0.5024875621890548
244,1851.4233425769664,39,1,9,8,1,0,35-44,0.48223350253807107
245,78.26762602780828,29,1,9,21,0,1,25-34,0.45
246,4641.664494376039,19,1,14,22,0,1,18-24,0.46733668341708545
247,2141.492557438254,54,0,16,11,0,0,45-54,0.5124378109452736
248,4833.307440399304,24,0,17,7,1,1,18-24,0.5128205128205128
249,4818.136265469175,43,0,13,12,0,1,35-44,0.4729064039408867
250,4265.194267881333,43,1,9,4,0,1,35-44,0.4744897959183674
251,1472.9500114558589,41,0,15,13,1,1,35-44,0.5024390243902439
252,1926.1035452810245,29,0,7,15,1,0,25-34,0.484
253,4255.832220912767,33,1,1,10,1,0,25-34,0.5252525252525253
254,1585.293103776232,40,0,1,19,1,1,35-44,0.49038461538461536
255,848.2942406837764,57,0,5,11,0,1,55-64,0.5124378109452736
256,2784.4495110292924,26,0,9,14,1,1,25-34,0.5024875621890548
257,4680.837716029744,49,1,12,23,1,1,45-54,0.46733668341708545
258,3480.45295357819,32,0,6,11,0,1,25-34,0.5124378109452736
259,2850.7357892767354,54,1,13,8,1,0,45-54,0.48223350253807107
260,486.7852923600719,30,1,8,0,1,0,25-34,0.45161290322580644
261,3075.4211262691497,22,1,15,2,0,0,18-24,0.5194174757281553
262,4950.279196671212,28,0,6,11,1,1,25-34,0.5124378109452736
263,701.2799921673836,27,0,6,19,1,1,25-34,0.49038461538461536
264,2592.12993216632,69,0,4,12,0,1,65+,0.4729064039408867
265,4386.9879865678495,30,1,11,22,0,0,25-34,0.46733668341708545
266,3704.102320153268,58,1,18,5,0,1,55-64,0.47297297297297297
267,3485.3816892353448,70,0,3,9,0,0,65+,0.5084745762711864
268,3512.717935851559,63,1,3,9,0,1,55-64,0.5084745762711864
269,1798.0962649475562,67,0,12,15,0,1,65+,0.484
270,1468.6656294782024,32,0,6,0,0,1,25-34,0.45161290322580644
271,4046.9964162370898,59,0,6,15,0,1,55-64,0.484
272,4050.7568600012246,73,0,8,3,0,0,65+,0.49056603773584906
273,4335.494520581939,24,0,15,5,0,1,18-24,0.47297297297297297
274,4566.2895222298,57,0,18,18,0,1,55-64,0.5051546391752577
275,2557.200651905828,45,0,16,1,0,0,45-54,0.48148148148148145
276,2508.079957141311,49,1,6,17,1,0,45-54,0.5186915887850467
277,3991.677599654909,52,0,17,9,0,0,45-54,0.5084745762711864
278,3250.169689958048,32,1,9,3,0,1,25-34,0.49056603773584906
279,3510.132419411259,65,1,19,0,0,1,65+,0.45161290322580644
280,3979.1675545110693,53,0,18,14,0,1,45-54,0.5024875621890548
281,4450.136703746014,38,1,5,9,0,1,35-44,0.5084745762711864
282,1690.6377891008274,23,1,6,17,1,0,18-24,0.5186915887850467
283,1878.5391802470801,18,1,12,15,1,0,18-24,0.484
284,470.81571726450414,21,0,11,12,1,0,18-24,0.4729064039408867
285,2891.8224248398737,28,0,16,14,1,0,25-34,0.5024875621890548
286,180.6754267099137,61,0,17,1,0,0,55-64,0.48148148148148145
287,2328.5244926441683,43,0,9,19,1,1,35-44,0.49038461538461536
288,2713.6805289031754,54,0,1,3,1,1,45-54,0.49056603773584906
289,1433.4197193892937,40,1,3,0,0,1,35-44,0.45161290322580644
290,2954.575469584485,46,1,9,6,1,0,45-54,0.5069124423963134
291,153.4707494453081,38,0,19,22,1,0,35-44,0.46733668341708545
292,187.70359555732287,65,1,13,10,0,1,65+,0.5252525252525253
293,4113.180202737632,62,1,14,9,0,1,55-64,0.5084745762711864
294,1801.593016414903,62,1,19,0,1,1,55-64,0.45161290322580644
295,636.175502746772,66,1,7,10,0,1,65+,0.5252525252525253
296,2611.6940570139673,44,0,4,23,1,1,35-44,0.46733668341708545
297,3850.1977719399556,56,0,12,9,0,1,55-64,0.5084745762711864
298,1079.8893164567191,57,0,14,13,1,0,55-64,0.5024390243902439
299,3114.8294886191825,30,1,2,13,1,1,25-34,0.5024390243902439
300,427.65197750384624,40,1,1,6,1,0,35-44,0.5069124423963134
301,259.3569241218699,33,0,18,22,0,1,25-34,0.46733668341708545
302,2657.241803209172,47,0,8,10,0,0,45-54,0.5252525252525253
303,2703.6349729289223,21,1,3,21,1,0,18-24,0.45
304,3187.512077589535,57,0,6,3,0,0,55-64,0.49056603773584906
305,3630.730577279585,33,0,13,23,0,1,25-34,0.46733668341708545
306,4879.28454523321,48,1,9,1,1,1,45-54,0.48148148148148145
307,2581.9854411576753,70,1,9,6,0,1,65+,0.5069124423963134
308,1615.4594082332885,59,0,9,18,0,1,55-64,0.5051546391752577
309,3976.1357876487496,42,1,15,13,1,0,35-44,0.5024390243902439
310,1354.8904240591091,61,0,13,18,1,1,55-64,0.5051546391752577
311,2195.418132107475,29,1,16,6,0,1,25-34,0.5069124423963134
312,393.2034503299875,43,1,2,11,0,1,35-44,0.5124378109452736
313,127.7283663338721,54,0,14,2,0,0,45-54,0.5194174757281553
314,4813.279424974948,65,1,6,14,1,0,65+,0.5024875621890548
315,4180.064622440517,50,0,2,4,0,1,45-54,0.4744897959183674
316,3480.175056262396,45,1,8,7,0,1,45-54,0.5128205128205128
317,2045.3557691269352,26,0,4,13,0,1,25-34,0.5024390243902439
318,867.298306034158,29,1,14,3,0,1,25-34,0.49056603773584906
319,783.0287763127592,22,1,11,6,0,0,18-24,0.5069124423963134
320,1251.964247924812,71,0,14,6,0,1,65+,0.5069124423963134
321,2746.5840968658963,69,1,12,17,1,1,65+,0.5186915887850467
322,3573.2650175776116,71,0,16,13,1,0,65+,0.5024390243902439
323,3301.3266862119385,45,1,6,7,1,1,45-54,0.5128205128205128
324,1400.3895508327682,73,1,1,11,0,1,65+,0.5124378109452736
325,4774.371538035307,52,0,12,9,0,1,45-54,0.5084745762711864
326,3689.746686562147,22,1,7,13,1,0,18-24,0.5024390243902439
327,2772.215908504492,51,1,8,8,1,0,45-54,0.48223350253807107
328,3058.992010425527,63,0,9,5,1,1,55-64,0.47297297297297297
329,2098.5807120765216,51,1,2,4,1,1,45-54,0.4744897959183674
330,1239.407216516286,30,0,17,0,1,0,25-34,0.45161290322580644
331,1780.5074205776566,56,0,13,0,0,0,55-64,0.45161290322580644
332,3789.472706211381,59,0,5,19,0,0,55-64,0.49038461538461536
333,72.95304966014959,62,1,10,16,0,1,55-64,0.4928909952606635
334,581.2471298940743,65,1,12,10,0,0,65+,0.5252525252525253
335,230.967207466742,31,0,17,11,0,0,25-34,0.5124378109452736
336,204.6032827925317,28,1,6,2,1,0,25-34,0.5194174757281553
337,4277.4474594710255,59,0,3,5,1,1,55-64,0.47297297297297297
338,3518.5856390407384,55,1,15,10,0,0,55-64,0.5252525252525253
339,2371.3949716075385,21,0,7,12,1,1,18-24,0.4729064039408867
340,490.0729690943564,70,0,6,10,0,1,65+,0.5252525252525253
341,2458.587759709045,50,1,4,7,0,1,45-54,0.5128205128205128
342,2367.8853821320477,24,0,19,9,1,1,18-24,0.5084745762711864
343,866.8361476801659,73,0,5,1,0,0,65+,0.48148148148148145
344,2169.824394540627,58,1,3,23,0,1,55-64,0.46733668341708545
345,1993.1251672524697,25,0,9,13,0,1,25-34,0.5024390243902439
346,3079.6346401630303,54,0,6,15,1,1,45-54,0.484
347,3175.833160687351,68,1,13,16,1,0,65+,0.4928909952606635
348,227.47474485045055,27,0,4,10,0,0,25-34,0.5252525252525253
349,1873.6884605177297,60,0,2,1,0,0,55-64,0.48148148148148145
350,3129.673718655468,74,0,4,23,1,0,65+,0.46733668341708545
351,2516.1781566418585,32,0,8,22,1,1,25-34,0.46733668341708545
352,4282.592716100423,55,0,13,4,1,1,55-64,0.4744897959183674
353,3293.809464463106,32,0,10,15,1,1,25-34,0.484
354,815.509200980067,22,0,18,15,0,0,18-24,0.484
355,353.7731682547488,46,0,9,1,0,0,45-54,0.48148148148148145
356,3212.4539717533717,36,1,1,15,0,0,35-44,0.484
357,133.53004139756743,71,0,13,4,1,1,65+,0.4744897959183674
358,2929.292130786043,68,0,18,7,1,1,65+,0.5128205128205128
359,4701.210976883363,27,1,15,19,0,1,25-34,0.49038461538461536
360,2877.795415201519,29,0,2,13,1,0,25-34,0.5024390243902439
361,1941.461461106403,71,0,11,9,0,0,65+,0.5084745762711864
362,3216.7978039933237,21,0,14,22,1,1,18-24,0.46733668341708545
363,2291.8061995670914,48,0,15,1,0,0,45-54,0.48148148148148145
364,2728.5383297903586,35,0,14,2,0,1,35-44,0.5194174757281553
365,4707.382579073849,33,0,16,17,0,1,25-34,0.5186915887850467
366,1931.1270863660704,57,1,15,20,0,0,55-64,0.5628415300546448
367,4805.991628555747,53,1,19,1,1,1,45-54,0.48148148148148145
368,4526.847859138363,42,1,9,20,0,1,35-44,0.5628415300546448
369,979.7598828116929,40,1,5,8,0,1,35-44,0.48223350253807107
370,347.7371430749521,29,1,5,1,0,1,25-34,0.48148148148148145
371,504.78922888575585,51,0,11,6,0,1,45-54,0.5069124423963134
372,92.09090643209709,53,0,4,6,1,0,45-54,0.5069124423963134
373,473.12036081888607,54,0,18,13,0,1,45-54,0.5024390243902439
374,3415.350860308368,20,0,3,4,0,0,18-24,0.4744897959183674
375,356.8720536526847,26,0,4,7,1,1,25-34,0.5128205128205128
376,1595.5591758385128,70,1,14,22,0,0,65+,0.46733668341708545
377,4224.531679536303,35,1,7,21,0,0,35-44,0.45
378,117.33640674339351,60,0,8,17,0,0,55-64,0.5186915887850467
379,4072.52794446209,52,0,16,5,0,1,45-54,0.47297297297297297
380,1409.9920190922262,74,0,15,13,1,0,65+,0.5024390243902439
381,591.7059732806596,72,1,7,17,1,1,65+,0.5186915887850467
382,3483.989089655389,51,1,17,16,1,1,45-54,0.4928909952606635
383,3145.08529105264,58,0,12,8,1,0,55-64,0.48223350253807107
384,4387.482595621737,31,1,18,12,1,0,25-34,0.4729064039408867
385,3675.620147975625,21,0,14,15,1,1,18-24,0.484
386,4017.601170993858,46,1,15,20,0,1,45-54,0.5628415300546448
387,1410.8908282839611,58,1,15,9,0,1,55-64,0.5084745762711864
388,888.0202793548344,62,0,5,9,0,0,55-64,0.5084745762711864
389,3753.323143452651,67,1,16,3,0,1,65+,0.49056603773584906
390,4034.366861597053,32,1,5,11,1,1,25-34,0.5124378109452736
391,4952.535204861366,45,0,2,7,0,1,45-54,0.5128205128205128
392,2063.675766880221,59,1,9,14,0,1,55-64,0.5024875621890548
393,1860.718410878123,33,0,9,20,1,1,25-34,0.5628415300546448
394,3882.2883907492424,29,1,4,22,0,1,25-34,0.46733668341708545
395,1704.6768977248362,69,0,15,18,0,1,65+,0.5051546391752577
396,4653.85587069222,22,0,11,14,1,1,18-24,0.5024875621890548
397,4292.205346463216,51,1,1,7,0,1,45-54,0.5128205128205128
398,2145.541142847717,59,1,18,7,0,1,55-64,0.5128205128205128
399,3754.6044678896956,18,0,1,18,1,1,18-24,0.5051546391752577
400,3772.959827549327,56,1,8,8,0,1,55-64,0.48223350253807107
401,516.5162203108271,49,1,16,23,0,0,45-54,0.46733668341708545
